id,user,mail
1,matias,matias@gmail.com
2,valentin,valentin@fintual.com
3,carlos,carlos@fintual.com
4,juan,juan@fintual.com
5,pepe,pepe@fintual.com
6,maria,maria@fintual.com
7,fran,fran@fintual.com
8,luis,luis@fintual.com
9,nico,nico@fintual.com
10,feli,feli@fintual.com
11,gio,gio@fintual.com
12,jorge,jorge@fintual.com
13,jose,jose@fintual.com
14,manu,manu@fintual.com
15,fabi,fabi@fintual.com
16,arturo,arturo@fintual.com
17,karla,karla@fintual.com
18,lis,lis@fintual.com
19,vale,vale@fintual.com
20,ilde,ilde@fintual.com
21,eloy,eloy@fintual.com
22,nadia,nadia@fintual.com
23,consu,consu@fintual.com
24,cata,cata@fintual.com
